AECOM Technology Corp,ACM,12-Nov-2013,B,0.8,Add
ARIAD Pharmaceuticals Inc,ARIA,12-Nov-2013,B,-0.43,Add
Amedisys Inc,AMED,12-Nov-2013,B,0.13,Add
American Science and Engineering Inc,ASEI,12-Nov-2013,B,0.49,Add
Arotech Corp,ARTX,12-Nov-2013,B,N/A,Add
BTG PLC,BTG.L,12-Nov-2013,B,N/A,Add
Babcock International Group PLC,BAB.L,12-Nov-2013,B,N/A,Add
Biospecifics Technologies Corp,BSTC,12-Nov-2013,B,0.1,Add
CAS Medical Systems Inc,CASM,12-Nov-2013,B,N/A,Add
Cache Inc,CACH,12-Nov-2013,B,-0.23,Add
Cimatron Ltd,CIMT,12-Nov-2013,B,0.06,Add
D.R. Horton Inc,DHI,12-Nov-2013,B,0.4,Add
DISH Network Corp,DISH,12-Nov-2013,B,0.43,Add
Dean Foods Co,DF,12-Nov-2013,B,0.14,Add
Dendreon Corp,DNDN,12-Nov-2013,B,-0.42,Add
Dolan Co,DM,12-Nov-2013,B,0.03,Add
EV Energy Partners LP,EVEP,12-Nov-2013,B,0.28,Add
Five Star Quality Care Inc,FVE,12-Nov-2013,B,0.06,Add
GTX Inc,GTXI,12-Nov-2013,B,-0.21,Add
General Finance Corp,GFN,12-Nov-2013,B,0.04,Add
Global Eagle Entertainment Inc,ENT,12-Nov-2013,B,-0.06,Add
Gran Tierra Energy Inc,GTE,12-Nov-2013,B,0.19,Add
Greenhunter Resources Inc,GRH,12-Nov-2013,B,-0.05,Add
Hanwha Solarone Co Ltd,HSOL,12-Nov-2013,B,N/A,Add
Harvest Natural Resources Inc,HNR,12-Nov-2013,B,0.06,Add
Hawaiian Telcom Holdco Inc,HCOM,12-Nov-2013,B,0.24,Add
Houston Wire & Cable Co,HWCC,12-Nov-2013,B,0.23,Add
InfuSystem Holdings Inc,INFU,12-Nov-2013,B,0.02,Add
Insys Therapeutics Inc,INSY,12-Nov-2013,B,0.31,Add
LMI Aerospace Inc,LMIA,12-Nov-2013,B,0.22,Add
Lexicon Pharmaceuticals Inc,LXRX,12-Nov-2013,B,-0.01,Add
Lihua International Inc,LIWA,12-Nov-2013,B,N/A,Add
Metalico Inc,MEA,12-Nov-2013,B,-0.09,Add
Microvision Inc,MVIS,12-Nov-2013,B,-0.12,Add
Motorcar Parts of America Inc,MPAA,12-Nov-2013,B,0.27,Add
NRG Energy Inc,NRG,12-Nov-2013,B,0.83,Add
Nash Finch Co,NAFC,12-Nov-2013,B,0.91,Add
NuStar Energy LP,NS,12-Nov-2013,B,0.28,Add
NuStar GP Holdings LLC,NSH,12-Nov-2013,B,0.32,Add
Orexigen Therapeutics Inc,OREX,12-Nov-2013,B,-0.18,Add
Perion Network Ltd,PERI,12-Nov-2013,B,N/A,Add
Pernix Therapeutics Holdings Inc,PTX,12-Nov-2013,B,-0.09,Add
RDA Microelectronics Inc,RDA,12-Nov-2013,B,0.2,Add
RRsat Global Communications Network Ltd,RRST,12-Nov-2013,B,0.12,Add
Rockwood Holdings Inc,ROC,12-Nov-2013,B,0.5,Add
Sarepta Therapeutics Inc,SRPT,12-Nov-2013,B,-0.65,Add
SciClone Pharmaceuticals Inc,SCLN,12-Nov-2013,B,0.15,Add
Senomyx Inc,SNMX,12-Nov-2013,B,-0.05,Add
South Jersey Industries Inc,SJI,12-Nov-2013,B,0.15,Add
Sunesis Pharmaceuticals Inc,SNSS,12-Nov-2013,B,-0.2,Add
Superconductor Technologies Inc,SCON,12-Nov-2013,B,-0.2,Add
Synthesis Energy Systems Inc,SYMX,12-Nov-2013,B,N/A,Add
Sypris Solutions Inc,SYPR,12-Nov-2013,B,0.01,Add
TG Therapeutics Inc,TGTX,12-Nov-2013,B,-0.22,Add
Third Point Reinsurance Ltd,TPRE,12-Nov-2013,B,0.43,Add
Trifast PLC,TRI.L,12-Nov-2013,B,N/A,Add
USA Technologies Inc,USAT,12-Nov-2013,B,-0.02,Add
Vodafone Group PLC,VOD.L,12-Nov-2013,B,N/A,Add
WhiteHorse Finance Inc,WHF,12-Nov-2013,B,0.34,Add
Workspace Group PLC,WKP.L,12-Nov-2013,B,N/A,Add
Yingli Green Energy Holding Company Ltd,YGE,12-Nov-2013,B,-0.24,Add
Yongye International Inc,YONG,12-Nov-2013,B,N/A,Add
ZAIS Financial Corp,ZFC,12-Nov-2013,B,N/A,Add
ZaZa Energy Corp,ZAZA,12-Nov-2013,B,N/A,Add
Concord Medical Services Holdings Ltd,CCM,12-Nov-2013,D,0.15,Add
Diodes Inc,DIOD,12-Nov-2013,D,0.34,Add
Enbw Energie Baden Wuerttemberg AG,EBK.F,12-Nov-2013,D,N/A,Add
ORIFLAME COSMETICS S.A.,ORFLY,12-Nov-2013,D,N/A,Add
Xplore Technologies Corp,XPLR,12-Nov-2013,D,N/A,Add
Aastrom Biosciences Inc,ASTM,12-Nov-2013,A,-2.02,Add
Acorn Energy Inc,ACFN,12-Nov-2013,A,-0.22,Add
Adecoagro SA,AGRO,12-Nov-2013,A,-0.02,Add
Advanced Photonix Inc,API,12-Nov-2013,A,-0.01,Add
Ascent Capital Group Inc,ASCMA,12-Nov-2013,A,-0.06,Add
BioDelivery Sciences International Inc,BDSI,12-Nov-2013,A,-0.33,Add
Bsquare Corp,BSQR,12-Nov-2013,A,N/A,Add
China Lodging Group Ltd,HTHT,12-Nov-2013,A,2.1,Add
Codexis Inc,CDXS,12-Nov-2013,A,-0.31,Add
Consolidated Water Co Ltd,CWCO,12-Nov-2013,A,0.09,Add
Copa Holdings SA,CPA,12-Nov-2013,A,2.59,Add
Crexendo Inc,EXE,12-Nov-2013,A,N/A,Add
Cvent Inc,CVT,12-Nov-2013,A,0,Add
Cyclacel Pharmaceuticals Inc,CYCC,12-Nov-2013,A,-0.31,Add
Discovery Laboratories Inc,DSCO,12-Nov-2013,A,-0.19,Add
Dover Saddlery Inc,DOVR,12-Nov-2013,A,N/A,Add
Engility Holdings Inc,EGL,12-Nov-2013,A,0.69,Add
Era Group Inc,ERA,12-Nov-2013,A,N/A,Add
Evolving Systems Inc,EVOL,12-Nov-2013,A,0.09,Add
Five Prime Therapeutics Inc,FPRX,12-Nov-2013,A,-0.53,Add
Franks International NV,FI,12-Nov-2013,A,0.4,Add
GenMark Diagnostics Inc,GNMK,12-Nov-2013,A,-0.27,Add
Harris and Harris Group Inc,TINY,12-Nov-2013,A,N/A,Add
Hyperion Therapeutics Inc,HPTX,12-Nov-2013,A,-0.06,Add
Intersections Inc,INTX,12-Nov-2013,A,N/A,Add
Luxoft Holding Inc,LXFT,12-Nov-2013,A,0.37,Add
MarkWest Energy Partners LP,MWE,12-Nov-2013,A,0.23,Add
Medivation Inc,MDVN,12-Nov-2013,A,-0.26,Add
Midstates Petroleum Company Inc,MPO,12-Nov-2013,A,0.01,Add
NGL Energy Partners LP,NGL,12-Nov-2013,A,0.05,Add
NQ Mobile Inc,NQ,12-Nov-2013,A,0.27,Add
NV5 Holdings Inc,NVEE,12-Nov-2013,A,N/A,Add
OTC Markets Group Inc,OTCM,12-Nov-2013,A,N/A,Add
OXiGENE Inc,OXGN,12-Nov-2013,A,N/A,Add
Oncothyreon Inc,ONTY,12-Nov-2013,A,-0.11,Add
Orient Paper Inc,ONP,12-Nov-2013,A,N/A,Add
PDI Inc,PDII,12-Nov-2013,A,-0.2,Add
Park City Group Inc,PCYG,12-Nov-2013,A,N/A,Add
Park-Ohio Holdings Corp,PKOH,12-Nov-2013,A,1.02,Add
ParkerVision Inc,PRKR,12-Nov-2013,A,-0.06,Add
Planet Payment Inc,PLPM,12-Nov-2013,A,0.01,Add
Primo Water Corp,PRMW,12-Nov-2013,A,N/A,Add
Quantum Fuel Systems Technologies Worldwide Inc,QTWW,12-Nov-2013,A,-0.15,Add
RealD Inc,RLD,12-Nov-2013,A,-0.19,Add
SINA Corp,SINA,12-Nov-2013,A,0.32,Add
SMTC Corp,SMTX,12-Nov-2013,A,N/A,Add
Scientific Learning Corp,SCIL,12-Nov-2013,A,0,Add
Sinovac Biotech Ltd,SVA,12-Nov-2013,A,-0.02,Add
Spectrum Pharmaceuticals Inc,SPPI,12-Nov-2013,A,-0.08,Add
Supernus Pharmaceuticals Inc,SUPN,12-Nov-2013,A,-0.67,Add
Taro Pharmaceutical Industries Ltd,TARO,12-Nov-2013,A,N/A,Add
Taylor Morrison Home Corp,TMHC,12-Nov-2013,A,0.39,Add
TearLab Corp,TEAR,12-Nov-2013,A,-0.14,Add
The Babcock & Wilcox Co,BWC,12-Nov-2013,A,0.55,Add
Towerstream Corp,TWER,12-Nov-2013,A,-0.1,Add
Woodward Inc,WWD,12-Nov-2013,A,0.7,Add
WuXi Pharmatech (Cayman) Inc,WX,12-Nov-2013,A,0.39,Add
YRC Worldwide Inc,YRCW,12-Nov-2013,A,-0.46,Add
eMagin Corp,EMAN,12-Nov-2013,A,0,Add
magicJack Vocaltec Ltd,CALL,12-Nov-2013,A,0.42,Add
pSivida Corp,PSDV,12-Nov-2013,A,-0.13,Add
Capital Product Partners LP,CPLP,12-Nov-2013,U,N/A,Add
Celsion Corp,CLSN,12-Nov-2013,U,N/A,Add
China Jo-Jo Drugstores Inc,CJJD,12-Nov-2013,U,N/A,Add
Cogo Group Inc,COGO,12-Nov-2013,U,N/A,Add
CorEnergy Infrastructure Trust Inc,CORR,12-Nov-2013,U,0.05,Add
Dialogic Inc,DLGC,12-Nov-2013,U,N/A,Add
EchoStar Corp,SATS,12-Nov-2013,U,-0.08,Add
GlobalSCAPE Inc,GSB,12-Nov-2013,U,N/A,Add
Hilltop Holdings Inc,HTH,12-Nov-2013,U,N/A,Add
MacroGenics Inc,MGNX,12-Nov-2013,U,0.19,Add
News Corp,NWSA,12-Nov-2013,U,0.04,Add
Speedy Hire PLC,SDY.L,12-Nov-2013,U,N/A,Add
Synergy Health PLC,SYR.L,12-Nov-2013,U,N/A,Add
UMS United Medical Systems International AG,UMS.F,12-Nov-2013,U,N/A,Add
Verastem Inc,VSTM,12-Nov-2013,U,-0.44,Add
Allied Motion Technologies Inc,AMOT,13-Nov-2013,B,N/A,Add
American Shared Hospital Services,AMS,13-Nov-2013,B,N/A,Add
Apricus Biosciences Inc,APRI,13-Nov-2013,B,-0.11,Add
Asure Software Inc,ASUR,13-Nov-2013,B,-0.03,Add
CAMAC Energy Inc,CAK,13-Nov-2013,B,N/A,Add
Canadian Solar Inc,CSIQ,13-Nov-2013,B,0.36,Add
China Automotive Systems Inc,CAAS,13-Nov-2013,B,0.16,Add
China Ceramics Co Ltd,CCCL,13-Nov-2013,B,N/A,Add
Derma Sciences Inc,DSCI,13-Nov-2013,B,-0.44,Add
E-House China Holdings Ltd,EJ,13-Nov-2013,B,0.15,Add
FAB Universal Corp,FU,13-Nov-2013,B,N/A,Add
Hemisphere Media Group Inc,HMTV,13-Nov-2013,B,0.08,Add
Highpower International Inc,HPJ,13-Nov-2013,B,N/A,Add
ICAP PLC,IAP.L,13-Nov-2013,B,N/A,Add
MBIA Inc,MBI,13-Nov-2013,B,-0.03,Add
Macy's Inc,M,13-Nov-2013,B,0.39,Add
Meritor Inc,MTOR,13-Nov-2013,B,0.09,Add
MirLand Development Corporation PLC,MLD.L,13-Nov-2013,B,N/A,Add
Navios Maritime Acquisition Corp,NNA,13-Nov-2013,B,-0.03,Add
Ophthotech Corp,OPHT,13-Nov-2013,B,-1,Add
Pinnacle Foods Inc,PF,13-Nov-2013,B,0.35,Add
Progressive Corp,PGR,13-Nov-2013,B,N/A,Add
Southcross Energy Partners LP,SXE,13-Nov-2013,B,-0.03,Add
Sutor Technology Group Ltd,SUTR,13-Nov-2013,B,N/A,Add
TRI Pointe Homes Inc,TPH,13-Nov-2013,B,0.09,Add
E.ON AG,EONGY,13-Nov-2013,D,N/A,Add
AFC Enterprises Inc,AFCE,13-Nov-2013,A,0.32,Add
Aegean Marine Petroleum Network Inc,ANW,13-Nov-2013,A,0.16,Add
American Midstream Partners LP,AMID,13-Nov-2013,A,-0.43,Add
Cascade Bancorp,CACB,13-Nov-2013,A,0.05,Add
China New Borun Corp,BORN,13-Nov-2013,A,N/A,Add
Cisco Systems Inc,CSCO,13-Nov-2013,A,0.51,Add
CollabRx Inc,CLRX,13-Nov-2013,A,N/A,Add
Document Security Systems Inc,DSS,13-Nov-2013,A,-0.02,Add
Eagle Bulk Shipping Inc,EGLE,13-Nov-2013,A,-1.72,Add
Envision Healthcare Holdings Inc,EVHC,13-Nov-2013,A,0.12,Add
Exone Co,XONE,13-Nov-2013,A,0.02,Add
Globalstar Inc,GSAT,13-Nov-2013,A,-0.05,Add
Griffon Corp,GFF,13-Nov-2013,A,0.05,Add
Jinpan International Ltd,JST,13-Nov-2013,A,N/A,Add
LGL Group Inc,LGL,13-Nov-2013,A,N/A,Add
Luxfer Holdings PLC,LXFR,13-Nov-2013,A,0.35,Add
Millennial Media Inc,MM,13-Nov-2013,A,0.04,Add
NTN Buzztime Inc,NTN,13-Nov-2013,A,N/A,Add
NetApp Inc,NTAP,13-Nov-2013,A,0.63,Add
NetEase  Inc,NTES,13-Nov-2013,A,1.34,Add
Nortech Systems Inc,NSYS,13-Nov-2013,A,N/A,Add
PennantPark Investment Corp,PNNT,13-Nov-2013,A,0.26,Add
Phoenix New Media Ltd,FENG,13-Nov-2013,A,N/A,Add
Pro-Dex Inc,PDEX,13-Nov-2013,A,N/A,Add
RELM Wireless Corp,RWC,13-Nov-2013,A,N/A,Add
Re/Max Holdings Inc,RMAX,13-Nov-2013,A,0.38,Add
SeaWorld Entertainment Inc,SEAS,13-Nov-2013,A,1.22,Add
Spark Networks Inc,LOV,13-Nov-2013,A,-0.15,Add
Surgical Care Affiliates Inc,SCAI,13-Nov-2013,A,N/A,Add
Tetra Tech Inc,TTEK,13-Nov-2013,A,0.36,Add
Ultrapetrol Bahamas Ltd,ULTR,13-Nov-2013,A,0.1,Add
WGL Holdings Inc,WGL,13-Nov-2013,A,-0.34,Add
YuMe Inc,YUME,13-Nov-2013,A,-0.11,Add
eLong Inc,LONG,13-Nov-2013,A,-0.11,Add
Amara Mining PLC,AMA.L,13-Nov-2013,U,N/A,Add
Anglo Pacific Group PLC,APF.L,13-Nov-2013,U,N/A,Add
Ares Commercial Real Estate Corp,ACRE,13-Nov-2013,U,0.17,Add
CUI Global Inc,CUI,13-Nov-2013,U,0.05,Add
Colonial Financial Services Inc,COBK,13-Nov-2013,U,N/A,Add
Communication Intelligence Corp,CICI,13-Nov-2013,U,N/A,Add
Continental Materials Corp,CUO,13-Nov-2013,U,N/A,Add
GigaMedia Ltd,GIGM,13-Nov-2013,U,N/A,Add
Gilat Satellite Networks Ltd,GILT,13-Nov-2013,U,0,Add
Harry and David Holdings Inc,HARR,13-Nov-2013,U,N/A,Add
Idera Pharmaceuticals Inc,IDRA,13-Nov-2013,U,-0.11,Add
Liontrust Asset Management PLC,LIO.L,13-Nov-2013,U,N/A,Add
London Stock Exchange Group PLC,LSE.L,13-Nov-2013,U,N/A,Add
NTS Inc,NTS,13-Nov-2013,U,N/A,Add
Oldenburgische Landesbank AG,OLB.F,13-Nov-2013,U,N/A,Add
Physiomics PLC,PYC.L,13-Nov-2013,U,N/A,Add
Point.360,PTSX,13-Nov-2013,U,N/A,Add
Poseidon Concepts Corp,POOSF,13-Nov-2013,U,N/A,Add
Reed's Inc,REED,13-Nov-2013,U,0.01,Add
SSE PLC,SSE.L,13-Nov-2013,U,N/A,Add
Saker Aviation Services Inc,SKAS,13-Nov-2013,U,N/A,Add
Syneron Medical Ltd,ELOS,13-Nov-2013,U,0,Add
ThermoGenesis Corp,KOOL,13-Nov-2013,U,N/A,Add
Utilico Emerging Markets Ltd,UEM.L,13-Nov-2013,U,N/A,Add
Velti PLC,VELT,13-Nov-2013,U,-0.2,Add
iSoftStone Holdings Ltd,ISS,13-Nov-2013,U,0.04,Add
Ambac Financial Group Inc,AMBC,14-Nov-2013,B,-0.22,Add
American DG Energy Inc,ADGE,14-Nov-2013,B,-0.02,Add
Birner Dental Management Services Inc,BDMS,14-Nov-2013,B,N/A,Add
Brooks Automation Inc,BRKS,14-Nov-2013,B,0.04,Add
Cardium Therapeutics Inc,CXM,14-Nov-2013,B,-0.24,Add
Century Casinos Inc,CNTY,14-Nov-2013,B,0.07,Add
Chimerix Inc,CMRX,14-Nov-2013,B,-0.39,Add
Commtouch Software Ltd,CTCH,14-Nov-2013,B,0.02,Add
Cosi Inc,COSI,14-Nov-2013,B,-0.01,Add
Diana Containerships Inc,DCIX,14-Nov-2013,B,-0.04,Add
E Commerce China Dangdang Inc,DANG,14-Nov-2013,B,-0.12,Add
GasLog Ltd,GLOG,14-Nov-2013,B,0.18,Add
Global Ship Lease Inc,GSL,14-Nov-2013,B,0.13,Add
Global Sources Ltd,GSOL,14-Nov-2013,B,0.14,Add
Global Telecom & Technology Inc,GTT,14-Nov-2013,B,-0.09,Add
Helmerich & Payne Inc,HP,14-Nov-2013,B,1.41,Add
IFM Investments Ltd,CTC,14-Nov-2013,B,-0.16,Add
Kohl's Corp,KSS,14-Nov-2013,B,0.86,Add
MFC Industrial Ltd,MIL,14-Nov-2013,B,N/A,Add
Multimedia Games Holding Company Inc,MGAM,14-Nov-2013,B,0.27,Add
New Source Energy Partners LP,NSLP,14-Nov-2013,B,0.37,Add
Norcros PLC,NXR.L,14-Nov-2013,B,N/A,Add
PFSweb Inc,PFSW,14-Nov-2013,B,-0.16,Add
PTC Therapeutics Inc,PTCT,14-Nov-2013,B,-0.3,Add
Penford Corp,PENX,14-Nov-2013,B,0.13,Add
Plug Power Inc,PLUG,14-Nov-2013,B,-0.08,Add
RMG Networks Holding Corp,RMGN,14-Nov-2013,B,N/A,Add
Sally Beauty Holdings Inc,SBH,14-Nov-2013,B,0.39,Add
Simcere Pharmaceutical Group,SCR,14-Nov-2013,B,N/A,Add
Sorl Auto Parts Inc,SORL,14-Nov-2013,B,0.19,Add
Suburban Propane Partners LP,SPH,14-Nov-2013,B,-0.88,Add
Synthetic Biologics Inc,SYN,14-Nov-2013,B,N/A,Add
TransDigm Group Inc,TDG,14-Nov-2013,B,1.71,Add
Tyco International Ltd,TYC,14-Nov-2013,B,0.52,Add
UTStarcom Holdings Corp,UTSI,14-Nov-2013,B,N/A,Add
Viacom Inc,VIAB,14-Nov-2013,B,1.45,Add
VirtualScopics Inc,VSCP,14-Nov-2013,B,N/A,Add
Wal-Mart Stores Inc,WMT,14-Nov-2013,B,1.13,Add
IntriCon Corp,IIN,14-Nov-2013,D,N/A,Add
Adcare Health Systems Inc,ADK,14-Nov-2013,A,-0.15,Add
Agilent Technologies Inc,A,14-Nov-2013,A,0.76,Add
Applied Materials Inc,AMAT,14-Nov-2013,A,0.18,Add
Astea International Inc,ATEA,14-Nov-2013,A,N/A,Add
Athersys Inc,ATHX,14-Nov-2013,A,-0.12,Add
Authentidate Holding Corp,ADAT,14-Nov-2013,A,N/A,Add
Bona Film Group Ltd,BONA,14-Nov-2013,A,0.04,Add
China Cord Blood Corp,CO,14-Nov-2013,A,0.06,Add
China Hydroelectric Corp,CHC,14-Nov-2013,A,N/A,Add
Constellation Energy Partners LLC,CEP,14-Nov-2013,A,0.01,Add
Flexible Solutions International Inc,FSI,14-Nov-2013,A,-0.01,Add
Home Inns & Hotels Management Inc,HMIN,14-Nov-2013,A,2.98,Add
KYTHERA Biopharmaceuticals Inc,KYTH,14-Nov-2013,A,-0.72,Add
Kingold Jewelry Inc,KGJI,14-Nov-2013,A,N/A,Add
Lifeway Foods Inc,LWAY,14-Nov-2013,A,0.1,Add
MTS Systems Corp,MTSC,14-Nov-2013,A,1.11,Add
Matthews International Corp,MATW,14-Nov-2013,A,0.75,Add
PLC Systems Inc,PLCSF,14-Nov-2013,A,-0.01,Add
S&W Seed Co,SANW,14-Nov-2013,A,0.04,Add
Tri-Tech Holding Inc,TRIT,14-Nov-2013,A,N/A,Add
US Geothermal Inc,HTM,14-Nov-2013,A,N/A,Add
Vermillion Inc,VRML,14-Nov-2013,A,N/A,Add
WidePoint Corp,WYY,14-Nov-2013,A,0.01,Add
Youku Tudou Inc,YOKU,14-Nov-2013,A,-0.39,Add
3i Group PLC,III.L,14-Nov-2013,U,N/A,Add
Absolute Return Trust Ltd,ABR.L,14-Nov-2013,U,N/A,Add
Alba Se,ABA.F,14-Nov-2013,U,N/A,Add
Allgeier Holding AG,AEI.F,14-Nov-2013,U,N/A,Add
